01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
01 00000010 00000008 || 00000008 0010
