0 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
1 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
0 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
1 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
0 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
1 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
0 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
1 0 xxxxxxxx 0 302fcaaa || xxxxxxxx
0 0 00000020 0 302fcaaa || xxxxxxxx
1 0 00000020 0 302fcaaa || xxxxxxxx
0 0 00000020 0 302fcaaa || xxxxxxxx
1 0 00000020 0 302fcaaa || xxxxxxxx
0 0 00000020 0 302fcaaa || xxxxxxxx
1 0 00000020 0 302fcaaa || xxxxxxxx
0 0 00000020 0 302fcaaa || xxxxxxxx
1 0 00000020 0 302fcaaa || xxxxxxxx
0 0 00000020 0 302fcaaa || xxxxxxxx
1 0 00000020 0 302fcaaa || xxxxxxxx
0 0 00000020 0 302fcaaa || xxxxxxxx
1 0 00000020 0 302fcaaa || xxxxxxxx
0 1 00000020 1 302fcaaa || xxxxxxxx
1 1 00000020 1 302fcaaa || xxxxxxxx
0 0 00000020 1 302fcaaa || xxxxxxxx
1 0 00000020 1 302fcaaa || xxxxxxxx
0 0 00000020 1 302fcaaa || xxxxxxxx
1 0 00000020 1 302fcaaa || xxxxxxxx
0 0 00000020 1 302fcaaa || xxxxxxxx
1 0 00000020 1 302fcaaa || xxxxxxxx
0 0 00000020 1 302fcaaa || xxxxxxxx
1 0 00000020 1 302fcaaa || xxxxxxxx
0 0 00000020 1 302fcaaa || 302fcaaa
1 0 00000020 1 302fcaaa || 302fcaaa
0 0 00000020 1 302fcaaa || 302fcaaa
1 0 00000020 1 302fcaaa || 302fcaaa
0 0 00000020 1 302fcaaa || 302fcaaa
1 0 00000020 1 302fcaaa || 302fcaaa
0 0 00000020 1 302fcaaa || 302fcaaa
1 0 00000020 1 302fcaaa || 302fcaaa
0 0 00000020 1 302fcaaa || 302fcaaa
1 0 00000020 1 302fcaaa || 302fcaaa
0 0 00000000 0 302fcaaa || 302fcaaa
1 0 00000000 0 302fcaaa || 302fcaaa
0 0 00000000 0 302fcaaa || 302fcaaa
1 0 00000000 0 302fcaaa || 302fcaaa
0 0 00000000 0 302fcaaa || 302fcaaa
1 0 00000000 0 302fcaaa || 302fcaaa
0 0 00000000 0 302fcaaa || 302fcaaa
1 0 00000000 0 302fcaaa || 302fcaaa
0 1 00000024 0 302fcaaa || 302fcaaa
1 1 00000024 0 302fcaaa || 302fcaaa
0 0 00000024 0 302fcaaa || 302fcaaa
1 0 00000024 0 302fcaaa || 302fcaaa
0 0 00000024 0 302fcaaa || 302fcaaa
1 0 00000024 0 302fcaaa || 302fcaaa
0 0 00000024 0 302fcaaa || 302fcaaa
1 0 00000024 0 302fcaaa || 302fcaaa
0 0 00000024 0 302fcaaa || 302fcaaa
1 0 00000024 0 302fcaaa || 302fcaaa
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
0 0 00000024 0 302fcaaa || xxxxxxxx
1 0 00000024 0 302fcaaa || xxxxxxxx
